x, T_15,  T_30, T_60, T_90, T_150, T_210
0.000308, 42.4866, 49.8625, 55.8561, 57.5507, 58.1653, 58.2145
0.000312, 42.4836, 49.8595, 55.853, 57.5477, 58.1623, 58.2115
0.000316, 42.4806, 49.8564, 55.85, 57.5447, 58.1593, 58.2084
0.00032, 42.4776, 49.8534, 55.847, 57.5417, 58.1563, 58.2054
0.000324, 42.4746, 49.8504, 55.844, 57.5386, 58.1533, 58.2024
0.000328, 42.4716, 49.8474, 55.841, 57.5356, 58.1503, 58.1994
0.000332, 42.4685, 49.8444, 55.838, 57.5326, 58.1472, 58.1964
0.000336, 42.4655, 49.8414, 55.8349, 57.5296, 58.1442, 58.1934
0.00034, 42.4625, 49.8383, 55.8319, 57.5266, 58.1412, 58.1904
0.000344, 42.4595, 49.8353, 55.8289, 57.5236, 58.1382, 58.1873
0.000348, 42.4565, 49.8323, 55.8259, 57.5205, 58.1352, 58.1843
0.000352, 42.4535, 49.8293, 55.8229, 57.5175, 58.1322, 58.1813
0.000356, 42.4505, 49.8263, 55.8199, 57.5145, 58.1292, 58.1783
0.00036, 42.4474, 49.8233, 55.8169, 57.5115, 58.1261, 58.1753
0.000364, 42.4444, 49.8203, 55.8138, 57.5085, 58.1231, 58.1723
0.000368, 42.4414, 49.8173, 55.8108, 57.5055, 58.1201, 58.1693
0.000372, 42.4384, 49.8142, 55.8078, 57.5025, 58.1171, 58.1662
0.000376, 42.4354, 49.8112, 55.8048, 57.4995, 58.1141, 58.1632
0.00038, 42.4324, 49.8082, 55.8018, 57.4965, 58.1111, 58.1602
0.000384, 42.4294, 49.8052, 55.7988, 57.4934, 58.1081, 58.1572
0.000388, 42.4264, 49.8022, 55.7958, 57.4904, 58.1051, 58.1542
0.000392, 42.4234, 49.7992, 55.7928, 57.4874, 58.1021, 58.1512
0.000396, 42.4203, 49.7962, 55.7898, 57.4844, 58.099, 58.1482
0.0004, 42.4173, 49.7932, 55.7868, 57.4814, 58.096, 58.1452
0.000404, 42.4143, 49.7902, 55.7837, 57.4784, 58.093, 58.1422
0.000408, 42.4113, 49.7872, 55.7807, 57.4754, 58.09, 58.1392
0.000412, 42.4083, 49.7841, 55.7777, 57.4724, 58.087, 58.1362
0.000416, 42.4053, 49.7811, 55.7747, 57.4694, 58.084, 58.1331
0.00042, 42.4023, 49.7781, 55.7717, 57.4664, 58.081, 58.1301
0.000424, 42.3993, 49.7751, 55.7687, 57.4634, 58.078, 58.1271
0.000428, 42.3963, 49.7721, 55.7657, 57.4604, 58.075, 58.1241
0.000432, 42.3933, 49.7691, 55.7627, 57.4573, 58.072, 58.1211
0.000436, 42.3903, 49.7661, 55.7597, 57.4543, 58.069, 58.1181
0.00044, 42.3873, 49.7631, 55.7567, 57.4513, 58.066, 58.1151
0.000444, 42.3843, 49.7601, 55.7537, 57.4483, 58.063, 58.1121
0.000448, 42.3813, 49.7571, 55.7507, 57.4453, 58.06, 58.1091
0.000452, 42.3783, 49.7541, 55.7477, 57.4423, 58.057, 58.1061
0.000456, 42.3753, 49.7511, 55.7447, 57.4393, 58.054, 58.1031
0.00046, 42.3723, 49.7481, 55.7417, 57.4363, 58.051, 58.1001
0.000464, 42.3692, 49.7451, 55.7387, 57.4333, 58.048, 58.0971
0.000468, 42.3662, 49.7421, 55.7357, 57.4303, 58.045, 58.0941
0.000472, 42.3632, 49.7391, 55.7327, 57.4273, 58.0419, 58.0911
0.000476, 42.3602, 49.7361, 55.7297, 57.4243, 58.0389, 58.0881
0.00048, 42.3572, 49.7331, 55.7267, 57.4213, 58.0359, 58.0851
0.000484, 42.3542, 49.7301, 55.7237, 57.4183, 58.0329, 58.0821
0.000488, 42.3512, 49.7271, 55.7207, 57.4153, 58.0299, 58.0791
0.000492, 42.3482, 49.7241, 55.7177, 57.4123, 58.0269, 58.0761
0.000496, 42.3452, 49.7211, 55.7147, 57.4093, 58.0239, 58.0731
0.0005, 42.3422, 49.7181, 55.7117, 57.4063, 58.0209, 58.0701
0.000504, 42.3392, 49.7151, 55.7087, 57.4033, 58.018, 58.0671
0.000508, 42.3363, 49.7121, 55.7057, 57.4003, 58.015, 58.0641
0.000512, 42.3333, 49.7091, 55.7027, 57.3973, 58.012, 58.0611
0.000516, 42.3303, 49.7061, 55.6997, 57.3943, 58.009, 58.0581
0.00052, 42.3273, 49.7031, 55.6967, 57.3913, 58.006, 58.0551
0.000524, 42.3243, 49.7001, 55.6937, 57.3883, 58.003, 58.0521
0.000528, 42.3213, 49.6971, 55.6907, 57.3853, 58, 58.0491
0.000532, 42.3183, 49.6941, 55.6877, 57.3823, 57.997, 58.0461
0.000536, 42.3153, 49.6911, 55.6847, 57.3793, 57.994, 58.0431
0.00054, 42.3123, 49.6881, 55.6817, 57.3763, 57.991, 58.0401
0.000544, 42.3093, 49.6851, 55.6787, 57.3734, 57.988, 58.0371
0.000548, 42.3063, 49.6821, 55.6757, 57.3704, 57.985, 58.0341
0.000552, 42.3033, 49.6791, 55.6727, 57.3674, 57.982, 58.0311
0.000556, 42.3003, 49.6761, 55.6697, 57.3644, 57.979, 58.0281
0.00056, 42.2973, 49.6732, 55.6667, 57.3614, 57.976, 58.0252
0.000564, 42.2943, 49.6702, 55.6637, 57.3584, 57.973, 58.0222
0.000568, 42.2913, 49.6672, 55.6607, 57.3554, 57.97, 58.0192
0.000572, 42.2883, 49.6642, 55.6578, 57.3524, 57.967, 58.0162
0.000576, 42.2854, 49.6612, 55.6548, 57.3494, 57.964, 58.0132
0.00058, 42.2824, 49.6582, 55.6518, 57.3464, 57.9611, 58.0102
0.000584, 42.2794, 49.6552, 55.6488, 57.3434, 57.9581, 58.0072
0.000588, 42.2764, 49.6522, 55.6458, 57.3404, 57.9551, 58.0042
0.000592, 42.2734, 49.6492, 55.6428, 57.3375, 57.9521, 58.0012
0.000596, 42.2704, 49.6462, 55.6398, 57.3345, 57.9491, 57.9982
0.0006, 42.2674, 49.6432, 55.6368, 57.3315, 57.9461, 57.9952
0.000604, 42.2644, 49.6403, 55.6338, 57.3285, 57.9431, 57.9923
0.000608, 42.2614, 49.6373, 55.6308, 57.3255, 57.9401, 57.9893
0.000612, 42.2585, 49.6343, 55.6279, 57.3225, 57.9371, 57.9863
0.000616, 42.2555, 49.6313, 55.6249, 57.3195, 57.9342, 57.9833
0.00062, 42.2525, 49.6283, 55.6219, 57.3165, 57.9312, 57.9803
0.000624, 42.2495, 49.6253, 55.6189, 57.3135, 57.9282, 57.9773
0.000628, 42.2465, 49.6223, 55.6159, 57.3106, 57.9252, 57.9743
0.000632, 42.2435, 49.6193, 55.6129, 57.3076, 57.9222, 57.9714
0.000636, 42.2405, 49.6164, 55.6099, 57.3046, 57.9192, 57.9684
0.00064, 42.2376, 49.6134, 55.607, 57.3016, 57.9162, 57.9654
0.000644, 42.2346, 49.6104, 55.604, 57.2986, 57.9133, 57.9624
0.000648, 42.2316, 49.6074, 55.601, 57.2956, 57.9103, 57.9594
0.000652, 42.2286, 49.6044, 55.598, 57.2927, 57.9073, 57.9564
0.000656, 42.2256, 49.6014, 55.595, 57.2897, 57.9043, 57.9534
0.00066, 42.2226, 49.5985, 55.592, 57.2867, 57.9013, 57.9505
0.000664, 42.2197, 49.5955, 55.5891, 57.2837, 57.8983, 57.9475
0.000668, 42.2167, 49.5925, 55.5861, 57.2807, 57.8954, 57.9445
0.000672, 42.2137, 49.5895, 55.5831, 57.2777, 57.8924, 57.9415
0.000676, 42.2107, 49.5865, 55.5801, 57.2748, 57.8894, 57.9385
0.00068, 42.2077, 49.5836, 55.5771, 57.2718, 57.8864, 57.9356
0.000684, 42.2047, 49.5806, 55.5742, 57.2688, 57.8834, 57.9326
0.000688, 42.2018, 49.5776, 55.5712, 57.2658, 57.8805, 57.9296
0.000692, 42.1988, 49.5746, 55.5682, 57.2628, 57.8775, 57.9266
0.000696, 42.1958, 49.5716, 55.5652, 57.2599, 57.8745, 57.9236
0.0007, 42.1928, 49.5687, 55.5622, 57.2569, 57.8715, 57.9207
0.000704, 42.1899, 49.5657, 55.5593, 57.2539, 57.8685, 57.9177
0.000708, 42.1869, 49.5627, 55.5563, 57.2509, 57.8656, 57.9147
0.000712, 42.1839, 49.5597, 55.5533, 57.2479, 57.8626, 57.9117
0.000716, 42.1809, 49.5567, 55.5503, 57.245, 57.8596, 57.9087
0.00072, 42.1779, 49.5538, 55.5473, 57.242, 57.8566, 57.9058
